"venue_id","canonical_name","city","country","verified_street_address","venue_official_url","address_source_url","latitude","longitude","coordinate_source","coordinate_validation_status","audit_note","source_access_date"
"venueparis00011","L'Oiseau Blanc","Paris","France","The Peninsula Paris, 19 avenue Kléber, 75116 Paris","https://www.peninsula.com/en/paris/hotel-fine-dining/french-rooftop-loiseau-blanc","https://www.peninsula.com/en/paris/copy-of-operation-hours-1","48.8707617","2.2931271","https://www.openstreetmap.org/node/10174250077","osm_address_verified","No matching named venue element exists at The Peninsula; OSM address node 10174250077 is exactly 19 Avenue Kléber. Same-name restaurant node 817830194 on Rue de Rome was rejected as unrelated.","2026-07-16"
"venueparis00012","Le Grand Restaurant - Jean-François Piège","Paris","France","7 rue d'Aguesseau, 75008 Paris","https://xn--jeanfranoispiege-jpb.com/le-grand-restaurant","https://xn--jeanfranoispiege-jpb.com/le-grand-restaurant","48.8701365","2.3192081","https://www.openstreetmap.org/node/3748908950","osm_verified","Named OSM restaurant node 3748908950 is Le Grand Restaurant on Rue d'Aguesseau and is adjacent to exact address node 842128221 for number 7.","2026-07-16"
"venueparis00013","Restaurant Le Meurice Alain Ducasse","Paris","France","Le Meurice, 228 rue de Rivoli, 75001 Paris","https://www.dorchestercollection.com/paris/le-meurice/dining/restaurant-le-meurice-alain-ducasse","https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/le-meurice-alain-ducasse","48.8651359","2.3282657","https://www.openstreetmap.org/node/5029945222","osm_verified","Named OSM restaurant node 5029945222 is Le Meurice Alain Ducasse and carries the exact 228 Rue de Rivoli address.","2026-07-16"
"venueparis00014","Maison Rostang","Paris","France","20 rue Rennequin, 75017 Paris","https://www.maisonrostang.com/en/home-2/","https://www.maisonrostang.com/en/home-2/","48.8814422","2.2985522","https://www.openstreetmap.org/node/4699000491","osm_verified","Named OSM restaurant node 4699000491 is Maison Rostang on Rue Rennequin at the published premises; Nominatim omits the house number from the venue node.","2026-07-16"
"venueparis00015","Le Taillevent","Paris","France","15 rue Lamennais, 75008 Paris","https://taillevent.com/en/","https://taillevent.com/en/contact.html","48.8741490","2.3024714","https://www.openstreetmap.org/node/4527150298","osm_verified","Named OSM restaurant node 4527150298 is Le Taillevent on Rue Lamennais at the published premises; Nominatim omits the house number from the venue node.","2026-07-16"
"venueparis00016","Alliance","Paris","France","5 rue de Poissy, 75005 Paris","https://www.restaurant-alliance.fr/en/","https://www.restaurant-alliance.fr/en/contactez-nous/","48.8499232","2.3533019","https://www.openstreetmap.org/node/4399470176","osm_verified","Named OSM restaurant node 4399470176 is Alliance and carries the exact 5 Rue de Poissy address; an unnumbered duplicate node 9691431276 was not selected.","2026-07-16"
"venueparis00017","Marsan par Hélène Darroze","Paris","France","4 rue d'Assas, 75006 Paris","https://www.helenedarroze.com/","https://www.helenedarroze.com/","48.8500436","2.3278425","https://www.openstreetmap.org/node/5221114447","osm_verified","Named OSM restaurant node 5221114447 is Marsan and carries the exact 4 Rue d'Assas address.","2026-07-16"
"venueparis00018","Le Clarence","Paris","France","31 avenue Franklin D. Roosevelt, 75008 Paris","https://www.le-clarence.paris/en/","https://www.le-clarence.paris/en/","48.8674023","2.3097941","https://www.openstreetmap.org/node/5030306022","osm_verified","Named OSM restaurant node 5030306022 is Le Clarence within the published corner mansion; Nominatim resolves the point to its Impasse d'Antin side rather than the Avenue Franklin D. Roosevelt entrance.","2026-07-16"
"venueparis00019","David Toutain","Paris","France","29 rue Surcouf, 75007 Paris","https://www.davidtoutain.com/","https://www.davidtoutain.com/location/horaires-et-localisation/","48.8602539","2.3097147","https://www.openstreetmap.org/node/5030309125","osm_verified","Named OSM restaurant node 5030309125 is Restaurant David Toutain and carries the exact 29 Rue Surcouf address.","2026-07-16"
"venueparis00020","Blanc","Paris","France","52 rue de Longchamp, 75116 Paris","https://www.blanc-paris.com/en/","https://www.blanc-paris.com/en/","48.8650727","2.2875105","https://www.openstreetmap.org/node/938872728","osm_address_verified","No named Blanc element was returned; OSM address node 938872728 is exactly 52 Rue de Longchamp.","2026-07-16"
"venueparis00021","Hakuba","Paris","France","Cheval Blanc Paris, 8 quai du Louvre, 75001 Paris","https://www.chevalblanc.com/en/maison/paris/restaurants-and-bars/hakuba/","https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/hakuba","48.8588572","2.3421794","https://www.openstreetmap.org/node/8859828184","osm_address_verified","No named Hakuba element was returned; named OSM hotel node 8859828184 is Cheval Blanc at number 8 and is the documented host premises, not a restaurant-specific pin.","2026-07-16"
"venueparis00022","L'Abysse Paris","Paris","France","Pavillon Ledoyen, 8 avenue Dutuit, 75008 Paris","https://www.yannick-alleno.com/en/les-etablissements-du-groupe/abysse-paris","https://www.yannick-alleno.com/en/les-etablissements-du-groupe/abysse-paris","48.8661024","2.3164852","https://www.openstreetmap.org/way/108191689","osm_address_verified","No separate L'Abysse element was returned; OSM restaurant way 108191689 is its documented host Pavillon Ledoyen. This is host-building geometry, not a restaurant-specific pin, and OSM uses the Avenue Edward Tuck side.","2026-07-16"
"venueparis00023","L'Orangerie","Paris","France","Four Seasons Hotel George V, 31 avenue George V, 75008 Paris","https://www.fourseasons.com/paris/dining/restaurants/l-orangerie/","https://www.fourseasons.com/paris/contact-us/","48.8687840","2.3006774","https://www.openstreetmap.org/node/251758255","osm_address_verified","No named L'Orangerie element was returned; named OSM hotel node 251758255 is Four Seasons Hôtel George V and carries the exact 31 Avenue George V host address.","2026-07-16"
"venueparis00024","Guy Savoy","Paris","France","Monnaie de Paris, 11 quai de Conti, 75006 Paris","https://guysavoy.com/en","https://guysavoy.com/en","48.8565393","2.3395348","https://www.openstreetmap.org/node/4449907191","osm_verified","Named OSM restaurant node 4449907191 is Restaurant Guy Savoy on Quai de Conti within Monnaie de Paris; the venue node omits the house number.","2026-07-16"
"venueparis00025","Table - Bruno Verjus","Paris","France","3 rue de Prague, 75012 Paris","https://table.paris/","https://table.paris/","48.8487639","2.3758751","https://www.openstreetmap.org/node/1353062885","osm_address_verified","No named Table element was returned; OSM address node 1353062885 is exactly 3 Rue de Prague.","2026-07-16"
"venueparis00026","L'Ambroisie","Paris","France","9 place des Vosges, 75004 Paris","https://www.ambroisie-paris.com/","https://www.ambroisie-paris.com/en/legal","48.8554103","2.3643002","https://www.openstreetmap.org/node/2387678738","osm_verified","Named OSM restaurant node 2387678738 is L'Ambroisie on Place des Vosges at the published premises; same-name node 2281176835 in Paris 8e was rejected as unrelated.","2026-07-16"
"venueparis00027","Le Jules Verne","Paris","France","2nd floor, Eiffel Tower, 6 avenue Gustave Eiffel, 75007 Paris","https://www.restaurants-toureiffel.com/en/jules-verne-restaurant.html","https://www.restaurants-toureiffel.com/en/jules-verne-restaurant.html","48.8581328","2.2944968","https://www.openstreetmap.org/node/3135278479","osm_verified","Named OSM restaurant node 3135278479 is Le Jules Verne in the Eiffel Tower and includes Tour Eiffel as its address housename.","2026-07-16"
"venueparis00028","Virtus","Paris","France","29 rue de Cotte, 75012 Paris","https://www.virtus-paris.com/en/","https://www.virtus-paris.com/en/address-contact/","48.8502429","2.3781620","https://www.openstreetmap.org/node/1370190349","osm_address_verified","No named Virtus element was returned; OSM address node 1370190349 is exactly 29 Rue de Cotte.","2026-07-16"
"venueparis00029","Sushi Yoshinaga","Paris","France","27 rue du 4 Septembre, 75002 Paris","https://sushiyoshinaga.com/","https://sushiyoshinaga.com/","48.8697847","2.3349041","https://www.openstreetmap.org/node/14017261201","osm_verified","Named OSM restaurant node 14017261201 is Sushi Yoshinaga and carries the exact 27 Rue du Quatre Septembre address; the official site abbreviates Quatre as 4.","2026-07-16"
"venuemich000006","OSA","Madrid","Spain","Calle de la Ribera del Manzanares 123, 28008 Madrid","https://osarestaurante.com/en/osa-restaurant/","https://osarestaurante.com/en/osa-restaurant/","40.4287064","-3.7330588","https://www.openstreetmap.org/way/637561061","osm_address_verified","No named or address-tagged OSA element exists. OSM house way 637561061 is the exact footprint containing the first-party page's embedded OSA map point at 40.428843,-3.7328183; coordinates here are the independent OSM footprint center, not the first-party point.","2026-07-16"
"venuemich000008","Pabú","Madrid","Spain","Calle Panamá 4, 28036 Madrid","https://www.restaurantepabu.com/en","https://www.restaurantepabu.com/en/contacto","40.4563432","-3.6891995","https://www.openstreetmap.org/way/401611181","osm_address_verified","No named or address-tagged Pabú element exists. OSM apartment way 401611181 is the exact host footprint containing the first-party site's business-location point at 40.4564837,-3.6892562; coordinates here are the independent OSM footprint center, not the first-party point.","2026-07-16"
