source_venue_name,canonical_venue_name,city,country,distinction,guide_year,source_url,source_record_key,source_type,edition_announcement_url,edition_announcement_published_or_updated_at,source_accessed_at,source_published_or_updated_at,verification_status,verification_note,venue_official_url,venue_official_url_source,street_address,address_source_url,lat,lng,coordinate_source,coordinate_validation_status
L'Oiseau Blanc,L'Oiseau Blanc,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): No matching named venue element exists at The Peninsula; OSM address node 10174250077 is exactly 19 Avenue Kléber. Same-name restaurant node 817830194 on Rue de Rome was rejected as unrelated.,https://www.peninsula.com/en/paris/hotel-fine-dining/french-rooftop-loiseau-blanc,first-party-or-official-michelin-record,"The Peninsula Paris, 19 avenue Kléber, 75116 Paris",https://www.peninsula.com/en/paris/copy-of-operation-hours-1,48.8707617,2.2931271,openstreetmap-nominatim,osm_address_verified
Le Grand Restaurant - Jean-François Piège,Le Grand Restaurant - Jean-François Piège,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 3748908950 is Le Grand Restaurant on Rue d'Aguesseau and is adjacent to exact address node 842128221 for number 7.,https://xn--jeanfranoispiege-jpb.com/le-grand-restaurant,first-party-or-official-michelin-record,"7 rue d'Aguesseau, 75008 Paris",https://xn--jeanfranoispiege-jpb.com/le-grand-restaurant,48.8701365,2.3192081,openstreetmap-nominatim,osm_verified
Restaurant Le Meurice Alain Ducasse,Restaurant Le Meurice Alain Ducasse,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 5029945222 is Le Meurice Alain Ducasse and carries the exact 228 Rue de Rivoli address.,https://www.dorchestercollection.com/paris/le-meurice/dining/restaurant-le-meurice-alain-ducasse,first-party-or-official-michelin-record,"Le Meurice, 228 rue de Rivoli, 75001 Paris",https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/le-meurice-alain-ducasse,48.8651359,2.3282657,openstreetmap-nominatim,osm_verified
Maison Rostang,Maison Rostang,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 4699000491 is Maison Rostang on Rue Rennequin at the published premises; Nominatim omits the house number from the venue node.,https://www.maisonrostang.com/en/home-2/,first-party-or-official-michelin-record,"20 rue Rennequin, 75017 Paris",https://www.maisonrostang.com/en/home-2/,48.8814422,2.2985522,openstreetmap-nominatim,osm_verified
Le Taillevent,Le Taillevent,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 4527150298 is Le Taillevent on Rue Lamennais at the published premises; Nominatim omits the house number from the venue node.,https://taillevent.com/en/,first-party-or-official-michelin-record,"15 rue Lamennais, 75008 Paris",https://taillevent.com/en/contact.html,48.8741490,2.3024714,openstreetmap-nominatim,osm_verified
Alliance,Alliance,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 4399470176 is Alliance and carries the exact 5 Rue de Poissy address; an unnumbered duplicate node 9691431276 was not selected.,https://www.restaurant-alliance.fr/en/,first-party-or-official-michelin-record,"5 rue de Poissy, 75005 Paris",https://www.restaurant-alliance.fr/en/contactez-nous/,48.8499232,2.3533019,openstreetmap-nominatim,osm_verified
Marsan par Hélène Darroze,Marsan par Hélène Darroze,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 5221114447 is Marsan and carries the exact 4 Rue d'Assas address.,https://www.helenedarroze.com/,first-party-or-official-michelin-record,"4 rue d'Assas, 75006 Paris",https://www.helenedarroze.com/,48.8500436,2.3278425,openstreetmap-nominatim,osm_verified
Le Clarence,Le Clarence,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 5030306022 is Le Clarence within the published corner mansion; Nominatim resolves the point to its Impasse d'Antin side rather than the Avenue Franklin D. Roosevelt entrance.,https://www.le-clarence.paris/en/,first-party-or-official-michelin-record,"31 avenue Franklin D. Roosevelt, 75008 Paris",https://www.le-clarence.paris/en/,48.8674023,2.3097941,openstreetmap-nominatim,osm_verified
David Toutain,David Toutain,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 5030309125 is Restaurant David Toutain and carries the exact 29 Rue Surcouf address.,https://www.davidtoutain.com/,first-party-or-official-michelin-record,"29 rue Surcouf, 75007 Paris",https://www.davidtoutain.com/location/horaires-et-localisation/,48.8602539,2.3097147,openstreetmap-nominatim,osm_verified
Blanc,Blanc,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): No named Blanc element was returned; OSM address node 938872728 is exactly 52 Rue de Longchamp.,https://www.blanc-paris.com/en/,first-party-or-official-michelin-record,"52 rue de Longchamp, 75116 Paris",https://www.blanc-paris.com/en/,48.8650727,2.2875105,openstreetmap-nominatim,osm_address_verified
Hakuba,Hakuba,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,"Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): No named Hakuba element was returned; named OSM hotel node 8859828184 is Cheval Blanc at number 8 and is the documented host premises, not a restaurant-specific pin.",https://www.chevalblanc.com/en/maison/paris/restaurants-and-bars/hakuba/,first-party-or-official-michelin-record,"Cheval Blanc Paris, 8 quai du Louvre, 75001 Paris",https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/hakuba,48.8588572,2.3421794,openstreetmap-nominatim,osm_address_verified
L'Abysse Paris,L'Abysse Paris,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,"Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): No separate L'Abysse element was returned; OSM restaurant way 108191689 is its documented host Pavillon Ledoyen. This is host-building geometry, not a restaurant-specific pin, and OSM uses the Avenue Edward Tuck side.",https://www.yannick-alleno.com/en/les-etablissements-du-groupe/abysse-paris,first-party-or-official-michelin-record,"Pavillon Ledoyen, 8 avenue Dutuit, 75008 Paris",https://www.yannick-alleno.com/en/les-etablissements-du-groupe/abysse-paris,48.8661024,2.3164852,openstreetmap-nominatim,osm_address_verified
L'Orangerie,L'Orangerie,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): No named L'Orangerie element was returned; named OSM hotel node 251758255 is Four Seasons Hôtel George V and carries the exact 31 Avenue George V host address.,https://www.fourseasons.com/paris/dining/restaurants/l-orangerie/,first-party-or-official-michelin-record,"Four Seasons Hotel George V, 31 avenue George V, 75008 Paris",https://www.fourseasons.com/paris/contact-us/,48.8687840,2.3006774,openstreetmap-nominatim,osm_address_verified
Guy Savoy,Guy Savoy,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 4449907191 is Restaurant Guy Savoy on Quai de Conti within Monnaie de Paris; the venue node omits the house number.,https://guysavoy.com/en,first-party-or-official-michelin-record,"Monnaie de Paris, 11 quai de Conti, 75006 Paris",https://guysavoy.com/en,48.8565393,2.3395348,openstreetmap-nominatim,osm_verified
Table - Bruno Verjus,Table - Bruno Verjus,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): No named Table element was returned; OSM address node 1353062885 is exactly 3 Rue de Prague.,https://table.paris/,first-party-or-official-michelin-record,"3 rue de Prague, 75012 Paris",https://table.paris/,48.8487639,2.3758751,openstreetmap-nominatim,osm_address_verified
L'Ambroisie,L'Ambroisie,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 2387678738 is L'Ambroisie on Place des Vosges at the published premises; same-name node 2281176835 in Paris 8e was rejected as unrelated.,https://www.ambroisie-paris.com/,first-party-or-official-michelin-record,"9 place des Vosges, 75004 Paris",https://www.ambroisie-paris.com/en/legal,48.8554103,2.3643002,openstreetmap-nominatim,osm_verified
Le Jules Verne,Le Jules Verne,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 3135278479 is Le Jules Verne in the Eiffel Tower and includes Tour Eiffel as its address housename.,https://www.restaurants-toureiffel.com/en/jules-verne-restaurant.html,first-party-or-official-michelin-record,"2nd floor, Eiffel Tower, 6 avenue Gustave Eiffel, 75007 Paris",https://www.restaurants-toureiffel.com/en/jules-verne-restaurant.html,48.8581328,2.2944968,openstreetmap-nominatim,osm_verified
Virtus,Virtus,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): No named Virtus element was returned; OSM address node 1370190349 is exactly 29 Rue de Cotte.,https://www.virtus-paris.com/en/,first-party-or-official-michelin-record,"29 rue de Cotte, 75012 Paris",https://www.virtus-paris.com/en/address-contact/,48.8502429,2.3781620,openstreetmap-nominatim,osm_address_verified
Sushi Yoshinaga,Sushi Yoshinaga,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 14017261201 is Sushi Yoshinaga and carries the exact 27 Rue du Quatre Septembre address; the official site abbreviates Quatre as 4.,https://sushiyoshinaga.com/,first-party-or-official-michelin-record,"27 rue du 4 Septembre, 75002 Paris",https://sushiyoshinaga.com/,48.8697847,2.3349041,openstreetmap-nominatim,osm_verified
